username,handle,tweet_text,time
danny anthony,@auydaplease,"This morning, I looked at my paycheck and I cried. How can I work for a company who in 2019 3rd quarter made 27.2 billion an increase of 3.5% from 3rd quarter 2019. The Ceo made over 11million and the stock is at $243 & i can’t pay my bills. @AMCTHD #homedepot #قاطعوا_محمد_رمضان",2020-02-14T15:17:48.000Z
Lenny Getz,@GetzLenny,#HomeDepotUpdate on friend's bad tile installation from Home Depot Hollywood Florida. Store manager Omar is supposed to call by 3 for when the are going to come see it. They have always cancelled in the past. Maybe this time they will actually show up.,2020-02-12T18:41:33.000Z
YRGjobs,@YRGjobs,"Best Friend Furever - Zowy - visiting the Dickson City, PA #homedepot @DogsOfHomeDepot @thdstore4118",2020-02-14T19:56:47.000Z
ᑕᒪᗩIᖇE ᖇEᑎEE,@caidensmomma13,Baking goodies for Valentines Day. Couldn’t think of a better way to spend it then with my work family in the AM and my boys in the PM. #HomeDepot #WorkFamily #ValentinesIsComing,2020-02-13T23:55:48.000Z
Rios4598,@rios4598,"Teaching, training and developing his associates while executing DOTD!! Great job Hugo (D21/22 DS)!! D22 ready for its pros! #santaana #HomeDepot #606 @ANewmanhd @homedepot606 @Yesenia_ASM0606 @Elliottwakeman3 @Michael82376917 @Jaime_HD_D25 @Steven_Mousseau",2020-02-12T19:35:47.000Z
𝐌𝐚𝐝𝐝𝐢 ,@maddihd19,Giving  some love and dedication to my department  @wcork19 @jordana_kenia @ArgeoTamayo @EarleneBryan12 @ChrisPazHD @Gl010514 #HomeDepot #doral3331,2020-02-15T04:19:33.000Z
Adam  Donnelly,@AdamDonnelly7,Congrats to Joan in flooring celebrating 12 years with #homedepot #letusdoitforyou #D1MakingaDifference,2020-02-12T03:16:08.000Z
Gregory Iversen,@marsiversen,The sign says it all folks. Come into your #favorite #ColoradoSprings #HomeDepot to get a jump start on your new fence and choose a stain or sealant for a longer life. @THDAbbySmith @JohnSharp1518 @ThePacMan1541 @kylerey81 @SteveCronin12 @AndyDHRM @PabstBen,2020-02-13T03:29:00.000Z
Faith,@THD_Faith_HDE,"If you want to get your new windows for spring, now is the time to buy! See Steve K at the Ocean City, MD store! He’s ready to help! #oceancityMD #HOMEDEPOT @HDEPhiily @PaulGinnetti @MYoungsonDSM @b_mungul @KendraByrd24 @hdericmacdonald",2020-02-15T15:16:23.000Z
Kristyna Dark,@KristynaDark,I figured as much since they treat their customers like garbage.  I did a whole house remodel when I was back east this past summer and ALL my business went to #homedepot .,2020-02-14T04:39:36.000Z
Michael Gonzalez,@Saint_Michae1,This guy just stole a cart full of tools and is running across the parking lot  #thursdaymorning #ThursdayMotivation #homedepot #dedication #crimethursday,2020-02-13T12:56:22.000Z
TuffShedParker,@TuffShedParker,Attention @HomeDepot118! I will be at your store tomorrow morning from 10 am-2 pm for a table event. Let’s push some leads and drive some sales! Look forward to seeing all of you! #HomeDepot #TuffShed,2020-02-15T01:12:33.000Z
Lynn Dicus,@LynnDicus,This refresh looks amazing!  #receivingstandards #homedepot,2020-02-14T01:39:49.000Z
Eddie,@OnYourTurntable,"what shade is your lip'tick, did you get it  #HOMEDEPOT",2020-02-14T03:59:48.000Z
