username,handle,tweet_text,time
"<div aria-label=""☮️"" class=""css-1dbjc4n r-xoduu5 r-1mlwlqe r-1d2f490 r-1udh08x r-u8s1d r-h9hxbl r-417010"" style=""height: 1.2em;""><div class=""css-1dbjc4n r-1niwhzg r-vvn4in r-u6sd8q r-x3cy2q r-1p0dtai r-xoduu5 r-1pi2tsx r-1d2f490 r-u8s1d r-zchlnj r-ipm5af r-13qz1uu r-1wyyakw"" style='background-image: url(""https://abs-0.twimg.com/emoji/v2/svg/262e.svg"");'></div><img alt=""☮️"" class=""css-9pa8cd"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/svg/262e.svg""/></div>",@DestiGrace1,"Dear @Delta, another thing have you thought about chairs that includes the back massage feature? Nothing like taking my mind off the dread of being up there while someone I know nothing about take me to 33, 000 plus feet for too many hours . #DeltaCEO #DeltaAirlines",2020-02-15T03:37:53.000Z
Quitton Anderson,@homesbyqa,Let’s get this party started #deltaairlines #dallastexas in route to #kellerwillliamsfamilyreunion2020 https://instagram.com/p/B8hg3y1hWXo/?igshid=1dw0rd2l00hh1…,2020-02-13T22:22:07.000Z
Dave Johnson,@AviationandWX,Delta rolls out special Airbus A321 livery to thank employees at profit-sharing event https://thepointsguy.com/news/delta-air-lines-thank-you-livery-airbus-a321-profit-sharing/… #deltaairlines #Delta #profitsharing #howtotreatyouremployees,2020-02-15T04:22:39.000Z
MarketScreener.com,@Market_Screener,Delta Air Lines : JFK Airport's Busiest Terminal to Undergo $3.8 Billion Expansion #DeltaAirLines #Stock #MarketScreener http://marketscreener.com/DELTA-AIR-LINES-INC-49285/news/Delta-Air-Lines-JFK-Airport-s-Busiest-Terminal-to-Undergo-3-8-Billion-Expansion-29996522/…,2020-02-14T00:19:03.000Z
Caro Yzk ,@CaroYzk,"Delta airlines paid zero taxes, $1.25 billion in tax subsidies and $3.7 million in lobbying and they can't pay for employee benefits such as health insurance? #shameondelta #deltaairlines #boycottdelta #FeelTheBern #notweus #berniesanders2020",2020-02-15T07:31:32.000Z
Julian Morris,@JulianM40844993,#Delta #deltaairlines American Airline Delta says thank you with this cool special livery!,2020-02-14T16:52:29.000Z
Ben Taylor,@BenjamminTaylor,Why do airlines make the seatbelt sound deafening loud? #unitedairlines #AmericanAirlines #DeltaAirlines,2020-02-15T17:09:59.000Z
Simple Flying,@simple_flying,Delta Vs American Airlines – Flying Domestic Economy Class http://dlvr.it/RPjLBV #AmericanAirlines #DeltaAirLines #DeltavsAmerican,2020-02-09T21:08:02.000Z
Caro Yzk ,@CaroYzk,"Delta airlines paid zero taxes, $1.25 billion in tax subsidies and $3.7 million in lobbying and they can't pay for employee benefits such as health insurance? #shameondelta #deltaairlines #boycottdelta #FeelTheBern #notweus #berniesanders2020",2020-02-15T07:31:32.000Z
"Ready When You Are, Life!",@buzzydoo,"Ends Tomorrow! Don't Miss Out!#Antique #Delta #DeltaAirlines #ORIGINAL #1970s #Laycox #Chicago 22"" x 28"" #Travel #TravelPoster #Poster #DFW #AviationHistory #Aviationhttps://ebay.us/Tt5Gbz via @eBay",2020-02-15T15:46:33.000Z
