rating,review
good,"In the time I worked for lear, I still till this day considered a great employee. I hired in pregnant with sec ok and child. I worked full time and many 12 hour shifts. Auto seats are high in demand."
good,"Needs better leaders , talks to people like they are children instead of grown people ! Think because there in position they can say whatever to people and get away with no punishment for it"
good,"Had a wonderful time there with management and people great training on robot's and machine and converter belt ,, feed machine at a timely matter , ,,,"
good,"el trabajo es agradable, aprendi muchas cosas en cuestion de como manejar el personal, el trato a cada persona de convivir con ellos cada dia, en relacion a la direccion de la empresa todo vien se podria decir, mis compañeros de trabajo, buen apoyo por parte de ellos en ralacion al trabajo de equipo, en las partes mas difil es en relacion al personal de produccion, de la manera de de como dirijirse a ellos y sobre todo en como perdir las cosas, lo que mas me gusto es en realcion en trabajar en equipo y los resultados obtenidos atraves de ellos."
good,Se puede trabajar en la actitud de los directivos a fin de conseguir mayor compromiso en los mandos altos y medios generando mejoras en el ambiente laboral y en el compromiso de la empresa con sus empleados.
good,"Empresa com pouca estabilidade financeira,masque a cada dia aprendo um pouco mais sobre diversas abordagem."
good,"micro empresa externa que daba servicio a Lear, contaba con 5 empleados y un jefe, el jefe hera constantemente grosero y aparte no te daba el material necesario para trabajar, el ambiente dentro de la empresa hera bueno con los compañeros, pero no habia una organizacion con el horario de entrada y salida ni hora de ir a comer, hera un proyecto que nada mas duraba 2 meses en un modelo de restructuracion de inventario de los rieles de los asientos de los automoviles me dejo buena experiencia a nivel personal."
good,"I found most of the tasks within Lear rather easy and would like to continue in the same industry as I am ready to hit the ground running. I know the tools, Equipment and methods used plus quality of standard required."
good,"If there is anyting that I have against Lear is the three shift pattern.  For two weeks you have to work mornings, then afternoons, then nights, which was very disruptive to one's sleep pattern.  A typical day at work: foams in the shape of car seats are provided.  The hog-ringers would pull the leather over the foam and attach the leather to the foam with hog-rings.  They would then put the finished seats on a stand.  The heat gunners (myself) would then take a seat from the stand and apply heat to the leather and smooth out any wrinkles with a flat ivory stick. I would then place the finished seat on another stand for the inspectors. If the inspectors are happy they would put the seat in a plastic cover and put on another stand.  Once this stand is full it is taken away to be loaded on a lorry.  If the inspectors are not happy eg. a few hog-rings are missing or the leather is burnt then they report it to my team leader who in turn would notify us to correct the problem.  In the case of burnt leather, the leather has to be removed and replaced with a new one which can be costly to the company if too many seats are burnt.  A bad day for me is when I burn too many seats in one shift and receiving a reprimand from the manager. This happened to me only once and I've been very careful ever since."
good,Lear is Big company and since our technology is new we had spend lot of time since no resource or budget go approved. We spend lot of time working in Lear
good,"Top management at Lear is top notch.  Middle Managers are constantly looking over their shoulder knowing they could be the next one to be let go.  Constant layoffs, turnover, job changes."
good,It's ok nice people to work for great benefits great pay down the earth people don't work as hard vacation days off just all around place to work at..
good,"Overall i really dislike Lear a lot the company is very unorganized also there has been a few occasions where they messed up my hours for the week. Lear also is repetitive fast paced work for 12 to sometimes 16 hours a day standing on your feet. a lot of the co-workers are pretty much cool but that place can sometimes give you the vibe of a high school. one of the best things i like about Lear is the great benefits they provide such as Dental, vision, Health care etc.  Overall I'm just ready for a new experience I have been with Ford factories way to long, actually since I got out of high school in 2011."
good,"Empresa esta em crise a muito tempo, os funcionários sempre reclamando de pagamento, plr, atendimento, forma de trabalho, falta de ferramenta, e a não rotatividade de setor, em uma linha onde devia girar a produção para que todos passassem por todas as áreas da linha acabam ficando em um único lugar e acabam não desenvolvendo sua produção."
good,"Uma empresa com poucas expectativas de crescimento onde tem muito a se desenvolver futuramente, não pensa em seus funcionarios."
good,"Todo estaria bien hasta que nunca te hacen evaluacion y mucho menos te dejan cambiar de departamento."
good,"The environment is great and also the people i work with are good and friendly. Most of them are sports minded, the people are very active in participating companies activity."
good,you work 12 hour shifts 4 days a week. my days starts at 6am and ends at 6pm. there are 3 different shifts to work on so it all depends on which shift you get. this job is very repetitive and you do the same job everyday so you are really limited to learn outside of your job. the management is pretty decent. doing the same job all day long every minute of the hour. the coworkers are the best part. you meet some really cool people and they work as a team
good,"Aprendes atrabajar en equipo y tener disciplina , lo mas dificil consegir los objetibos demandados por la empresa"
good,I liked working for Lear with the benefits you got once making it to the union. And the shift hours are convient if you might have kids or something to do during the day.
good,"Una gran escuela, en el ámbito laboral, para poder ampliar conocimiento empírico"
good,"Typical day at Lear was always how long you going to get to work before your mold, or table breaks down. Never knew for the most part who you were working with until you came in that day."
good,Lear was an alright place to work at benefits insurance all things like that was good the pay holiday pays vacation pay was great point system was OK but not fair I didn't think so
good,Everyone works as a team on each line to produce production on each shift. Management    sometimes helps on the lines to push prodcution so that the customer line's don't stan on the production.Everyday i learn something nuwe.
good,"dia típico de trabalho era muito cansativo mais produtivo"
good,Lear was ok I wasn't hired on so I wasn't getting the pay that everyone else was at the company. Just be ready to work hard. Only thing i disliked was working 12 hours all the time.
good,good work place always improving and everyone there is like family.  a lot of team work. growing fast. try to keep a clean work force.  standard 5s and improving.
good,I was satisfied with my pay rate. there were plenty of oppurtunities for overtime which is something I was also satisfied with. I feel as if there are some communication issues from management all the way down. Overall it is a pretty good company to work for.
