rating,review
bad,"ColgatePalmolive was the best company I ever worked for except for my manager, job advancements and job work/life balance."
bad,"unddia de trabijo yegar al almasen saludar los dueños dirigirme ami luga de trabajo, lo que apredi e aprendido muchas cosas de formatos,exel.como tratar a los cientes, que el trabajo era un poco pesado aprender muchas cosas lavorales"
bad,"A operadores com 8 anos sem promoção, a muita cobrança e pouco reconhecimento."
bad,I would recommend it if you like a slow paced environment laid back management the only bad part is the machines were always down and you didn’t really have much work
bad,Tener un buen trabajo para asi tener conocimientos  y salir adelante  con mis estudios
bad,Good management helpful nature support for all my works learnt many good things best experice at work happy working with them never felt as iam persured for work good company
bad,Muitos promotores saíram porque a empresa tem muitos terceirizados que fazem o mesmo trabalho e recebem bem menos que os efetivos.sao descriminado não podem participar dos encontros e concurso da empresa.
bad,i am not about yet tell us company its totally good work with our staff members my under team work and my work is a team leading so i have done my job.
bad,Terrible distribution of selected routes. Not even the best driver who has been there 20 years can get route done less than 11 hours. Management is trying to save money by overloading driver routes when they should add a couple more drivers.
bad,Management needs to be trained as there is a fear culture in some areas.......not too much space to grow a career in Canada - no understanding of work life balance - not flexible on working from home even with all the tools available which notice lacks of trust on the employees
bad,"This company is only good for making money and not for benefits.  "
bad,Management is unpredictable and inconsistent. Employees are abused and bullied. Human resources is a joke when complaints are filed by employees. Human resources play favorites to any employee that will drop a dime on other employees.
bad,"Colgate Palmolive moved the Morristown , NJ operations to Hodges SC. I did have the opportunity to reapply for a position there but decided to look for other opportunities in the SC area . "
bad,"me gusto trabajar alli , se respira un buen ambiente , son muy organizados y cumplidos con el pago de los trabajadores"
bad,"Colgate are known for there core values etc but this plant is an apple that's fell far far far from the tree of Ethics & Morale that's signature of this company."
bad,"Contribuyo en mi proceso de crecimiento personal, conocimiento de grandes personas con gran experiencia."
bad,"Planned and coordinated marketing mix programs and pricing and promotional strategies for 16 different brands"
bad,"Been with this company for over 5 years. I have a degree which is something that this company lives by as far as advancement. I and several other over qualified technicians have put in for advancment and management roles and all have received the same ""speech"" from upper management. If you work for this company with passion and accuracy you will NEVER get ahead or move up. If you do your job and do it well they will hold you back for fear that things won't get done or will be done the wrong way. There is no accountability for wrong doings or just flat out not doing your job. If you are lazy and want a for sure job with little to no potential to get fired or move up, this company is the company for you!"
bad,"Praca dla kobiet ciężka , system 4- brygadowy wykańczający ,"
bad,"Cómo técnico de producción trabajaba agusto en mi máquina pero los líderes o supervisores no saben manejar al personal a cargo ,tendrán estudio pero no tienen modo de hablarle a su personal a cargo."
bad,"Biased Management, though the policies are very strong and employee oriented but the current scenario is not good. Good ro start the career with but promotions are difficult. Most of the old guys have left or are looking out."
bad,"this company looks good outside, but the management is messy and lousy.  No one ever challenge the sales director. He can decide everything that all other dept heads have to agree with"
bad,in there i was working on the ground level my basic work was how to sale the product threw to medical which was already an OTC product   which already picked by the general trade.
bad,Asesorar a los clientes que compraran cepillos de dientes o colutorios en cuanto a su tipo de cerdas y problemas bucales para aumentar las ventas de cada cepillo de la marca colgate y sus colutorios
bad,"A principal conclusão desta experiência, prende-se com o facto de ter confirmado todas as minhas competências."
bad,"Because they are understaffed, the microbiology lab regularly works overtime to accomplish duties. While the team members are friendly and hard working, the lack of work/life balance is draining."
bad,"The job itself is not bad but the management sucks. They change things without asking. It appears that they believe everyone is easily replaceable. There is no recognition for those who work hard and do their jobs. When you go to work there you don’t get any compensation for previous experience. The HR manager is horrible. The term that was coined by her was the plant just needed to have “radical acceptance” of changes and it did not matter what the team said basically we were told they would not listen to us. They have run off all the good managers that they had."
bad,Uma empresa com uma cultura tradicional . Acredito que precisa ser um pouco mais inovadora .
bad,"Go to work, as a technical tech you are not allowed to work on anything unless it is approved by engineering, or quality control. A problem that can be fixed in 20 minutes takes hours because the tech has to wait on someone in management to make a decision."
bad,"No work life balance, since your salary they don't care if you work all day, all night and weekends. They make you feel like your job is in jeopardy if you don't meet all your company objectives like a sales number that is unrealistic."
bad,Currently sending management jobs to other countries in order to reduce salary cost.  There is no work life balance; just how to balance more work in your life.
bad,"Valorização 0 para os funcionários, so cobra produção e não vê o lado do funcionário a respeito de promoção, e PLR uma vergonha."
bad,Very primitive and inbred company. Management not willing to use new ideas or improve. They keep following old practices and keep moving people around without much qualifications or knowledge of current standards of quality and compliance.
bad,"Good for people with low expectation, who do not have urge to develope and prefer stability over challanges."
bad,"If you are looking for high salary package then good to join."
bad,Empresa de conceitos sólidos e estruturados dentro de uma politica organizacional rígida e engessada.
bad,"•	Processed orders by telephone, fax, email, effectively demonstrated math skills, tracked and reviewed the status of current orders / Cancelled / modified customer orders"
bad,No one trust the management. Most are fresh out of college with no experience. Its all political in that managers only care about making themselves look better so they can advance. If you don't have a 4 year degree there is little advancement.
bad,"Some of the best workers around are at Colgate, unfortunately the high quality of employees are overahadowed by poor management. Either newly hired directly out of college kids or Colgate robots that are doing what they have to too move up the cooperate ladder. Good benefits and paid time off. If you can keep your head on the floor and avoid the management staff it's a great place to work."
bad,"Non-existent work/life balance.  You had to be ""on-call"" majority of the time.  Excellent benefits/compensation though.  Fellow employees were supportive and kind."
bad,good pay and benefits but management is poor. do not care about their employees. you are just a number and easily replaced. coworkers were good for the most part. no advancement. if you weren't an engineer you were looked down upon.
bad,"Minha avaliaçao e boa a respeito a empresa nota 8 . Oferece bons beneficios,e voce nao fica na mesma rotina visita varias lojas onde vc tem uma programaçao durante a semana e nao fica no mesmo lugar sai em varioa campos de trabalho"
bad,Chefe não valorizam os funcionários so querem saber de amigos ou chegados. .
bad,Some days the 12 hours are long and slow. Management isn't up to par and they have a lack of communication. You are always left in the dark about things.
bad,"El trato con las personas"
bad,This job has no movement. It's a job that here to pay my bill. I feel that as long as the job get done there's no worries about how the employee feel.The equipment is out of date for the type of quantily and quality that is expected to get a job done
bad,"the owner should be co-operative"
bad,"Operar maquina de llenado, revisión  empaque, llenar formatos de reportes de producción, paletizado, etiquetado, Buen ambiente laboral, buena dirección, des programaban mucho al personal operativo. Exigía mucha rapidez el trabajo, me gusto mucho el sistema de trabajo se aprende muy   organizado."
bad,uma empresa boa de se trabalhar com boas remuneração e boa carga horaria.
bad,"*I have enjoyed to achieve every task passed from my managements and feel happiness to achieve within given timelines."
bad,"en esta empresa se trabaja muy bien ya que son muy cumplidos con los salarios pero exigen mucho cumplimiento con las labores, los compañeros de trabajo son muy colaboradores y amables"
good,"aprendi el proceso y elaboracion de las cremas dentales, higiene y sobre el autocuidado."
good,Ya el ambiente de trabajo no es igual y tratan al trabajo como unos esclavos
good,"Empresa com muita qualidade mas peca no planejamento trabalho em grupo. Competitividade interna, o que atrapalha o trabalho perante clientes."
good,Tinha que seguir roteiro. Trabalho facil de executar. Abastecimento dos produtos da marca.
good,"regular out patient consult"
good,La convivencia con trabajadores no era igualitaria
good,"Aprendi servicio al cliente "
good,Very productive and competitive.we had a great team work.I got challenges and these enabled me to gain more skills in bisiness sector.I enjoyed working here.
good,"As Sales officer its good company to work to explore & learn, you get all the assistance. Working at different location & to make understanding of market & other channel partners by doing it by own & managing them."
good,"aprendi minha profisão nesta empresa,agrande dificldade que ocorre lá é a presão nos funcionarios por ser uma prestadora de serviço todo mundo te manda na empresa contratada."
good,Great company offering many opportunites. Nice and challenging working environment.
good,"Pay is pretty good considering there isn't much expected other than showing up.  Hourly workers are all paid the same (except warehouse, who are paid a few dollars less, and Tech Techs, who are paid a few dollars more).  So, a new hire, makes exactly the same as someone who has been there 10 years.  Great for the new hire, not so great for the experienced person.  "
good,Es una Empresa que tiene un buen ambiente de trabajo sin embargo puede ser todavia mejor el equilibrio salarial es malo ya que no se valora el trabajo de acuerdo a aptitudes y actitudes.
good,"en general es una buena compañia."
good,"Managing The complete business like stock request,deliveries,Stock take,Staffing,Transportation,Banking and all related function for running an agency."
good,"trabalhar nessa empresa foi muito prazeroso pois nos proporciona grande motivação no dia a dia."
good,"no good treatment for employees, not secured no perfect performance appraisal for the  freshers and training for the freshers is not proper wok culture is  good"
good,"Need some diversity training throughout the entire organization in Hodges, South Carolina. The management team is not focused enough on the process and making the job streamline with such tools as standard work procedures and actual training on the job. I feel that experienced leaders who really care about the employees would make this a top of the line facility to be a part of."
good,"buen ambiente laboral pero mala paga trabajar x produccion y no x hora no pagando ni hora extra ni feriado . trabajar sin descanso o parar x tiempo determinado "
good,"debe mejorar el trato al trabajador , debe de mejorar la organizacion,  mejorar el personal a cargo."
good,Durante mis 5 años trabajando para Colgate-Palmolive no he contado con ninguna promoción laboral. No existe cultura de respeto y todo se hace por compadrazgos.
good,Colgate is a great customer.  IRS is exactly what you think a Federal Government customer would be.  HGS is tough.  But the customer service environment is tough.
good,"Work Life balance is good, workload comes and goes depending on projects and time of year."
good,It was explained to me when I started that Colgate is a slow moving company by choice.  They pointed to the 200 year history as proof that not  reacting quickly is the key to longevity in the market.
good,"Su esquema de prestaciones es muy atractivo, sin embargo no respetan tu vida personal, son muy absorbentes, hay favoritismos y el ambiente laboral es malo. No entiendo porque RH no ha hecho nada por mejorar esto."
good,"Gran Escuela para la formación de profesionales "
good,"Colgate is slow to correct, slow to innovate, and slow to communicate.  It's a rose-colored glasses company with little tolerance for passion and critical thinking."
good,"I felt that the people I was reporting did not have a complete understanding of my job, the elements involved and some other basic job requirements. they asked for items to be sent to them at no cost once the job was done that actually required some number of hours of work from me to accomplish"
good,"is good company professional, multicultural company, hard working people learnt alot of stuff from my team and my manager, cant disclose more information"
good,Quick learning environment and friendly people. Low pay and lack of transparency in advancement and what it takes to advance. High expectations and no clear job role.
good,"Ambiente de trabalho não agradável, necessita trabalhar parceria e colaboração entre colegas de trabalho"
good,"-A typical week includes one office day along with 4 'ride along' days"
good,all over the company is very good.the management nd co workers are  very support ful.
good,Start up Management was not trained in the department they were leading
good,"Llegar a las 6:50 de la mañana escuchar junta con supervisor y salir temprano a vender visitar 50 clientes promedio llegar a empresa y facturar los pedidos cargar producto en camioneta y salir."
good,empreza onde tem muita extra bom para quem quer dinheiro
good,"Es una empresa buena, sin embargo el ambiente es tenso y existe mucha represión de parte de los jefes y supervisores, además tienen un comité sindical que constantemente intimida al personal."
good,"la colgate  Palmolive est une grande composée de beaucoups de secteurs. c' est une entreprise qui a formé beaucoups de personne surtout du coté de la savonnerie du poudre '' detergent '' , liquide '' savon liquide '' , etc ........ dont beaucoups de ses ex employés ont bénéficié aujourd'hui ."
good,Some departments they only wanted 6 people when we had a team of 10.. There's a lot of down time.. If you come in for over time of there wasn't a blue shirt to watch you then you got sent home.. It used to be a good place to work but there's no room for advancing unless you are a Colgate employee...
good,I absolutely loved workimg for colgate i loved the rotating schedule and i didn't mind working 12 hours a day i would love to go back there were just certain things i didnt agree with so i had to leave
good,"Tough geographic location, no clarity on work, no help from company in relocating,no guidance, no clarity, no management at all, no proper communication,"
good,"Atendimento e horários flexíveis, padrão de loja como atendimento, arrumação de lojas e estoque."
good,Colgate has great benefits but it's not worth it.  Management is the worst I've seen. Morristown TN  plant just a stepping stone for managers. No leadership.
good,Its been good to work at Colgate. As too learn more things.saftey procedure is the best. Proper control require. Only need to change the boilers which are non ibr boilers.
good,"Reuniones diarias, indicadores actualizados, entrenamientos internacionales, descuentos en productos de CP"
good,muy buena empresa muy buena escuela de aprendizaje un ambiente super chevere unos amigos que me ayudavan cuando no sabia algo me encanta el ambiente con mucho respeto y afecto asia todos los compañeros
good,Moral is very low and management does little to help.  A lot of great employees but there is a definite gap between the management and the staff.
good,"work out of town/state regularly, 12-14hr days, decent wage.  Co workers are nice down to earth people.  The most difficult part of the job is working out of town.  It is very difficult on family life.  The most enjoyable part of the job is the people that I work with.  I have made some great friends that will be difficult to leave when the right position arises."
good,"bueno lleno de sorpresas, aprendí muy poco por lo que di con un ambiente de trabajo un poco pesado, lo administrativo no tiene contacto con los obreros, el trabajo es de destacarse para poder sostenerte."
good,"normal con algunos accidentes, aprendí sobre medidas de longitud, calculo de ángulos, manejo de las alturas.. a su ves esta es la parte mes difícil del trabajo porque todo el tiempo estas trepado en los marcos y vigas de la estructura metálica."
good,Good job security  has very good benefits  four on four off schedule  quarterly bonuses friendly people Good team environment.  Not a very high chance of advancement
good,"I started at CP as a part-time B representative taking consumer calls."
good,Good work experience depending on who is your line manager. Good for career start up. Flexibility and pleasant working environment. Benefits acceptable.
good,Future of current position is questionable with the competition getting stronger. Most of the business is going to Hills to Home which will reduce head count across the board.
good,We weren't paid for the amount of work and responsibility we had. Poor management and lack of follow through. Culture needs improvement. Benefits were really good.
good,"travail intéressent et diversifié, mais beaucoup de piétinement."
good,colgate-palmolive is an ok workplace the pay and the benefits are really what keeps the employees coming back. really wish there we're more opportunity to advance
good,công việc và đãi ngộ tốt cho sinh viên làm bán thời gian.
good,"OK place to work.  Not a lot of innovation, but in a market that is close to commoditized, that's not surprising.  Consistent focus on meeting budget, and Wall Street expectations."
good,Large public company with broad international reach with many opportunities for advancement.  Does not manage or care about employees very well.  Often forces overtime and off shift work without advanced notice.  Anything not within your specific job title is held strictly confidential.  Very politically motivated environment with an aging workforce stuck in poor habits.
