rating,review
good,"Buen clima laboral, excelente uso de herramientas de gestion, aprendi nuevas tecnicas productivas en inyeccion de plasticos, la direccion de la empresa estaba un poco dispersa por motivos de la venta de la empresa y la separacion del grupo, los colegas todos excelentes, salvo que estaban algo  siperpuestas o mezcladas las responzabilidades y esto genera falta de comunicacion, lo mas complejo alcanzar objetivos con rapides por falta de algunas herramientas y capacitacion, lo mas importante que rescate en esta gestion fue la gran calidad y capacidad de los recursos humanos."
good,"Focus on the company and your individual experience while employed there"
good,I have worked at Visteon for over 15 years. I am fortunate to work with some very talented people.
good,"Sempre bem corrido, porém muito produtivo, algumas vezes havia suporte necessário para a execução das tarefas pertinentes ao cargo, outras não. A parte mais difícil de se trabalhar lá era o excesso de pessoas a quem se subordinar e a se reportar, algumas pessoas mal sabiam o que estavam fazendo ali, mas estavam, e acabavam atrapalhando o processo, mas isso não era uma constante. Sempre me saí bem no exercício das minhas atividades, fui muito feliz trabalhando nesta empresa, mas por redução de pessoas e por ter sido eliminado o setor onde eu trabalhava, fui desligada da companhia."
good,"Visteon has got some very good projects to work upon and pays quite well. But the planning of some projects are rather pathetic, it gives one heck of a toss to work life balance."
good,"My biggest concern working for Visteon was the number of hours required.  Normally speaking, evenings, weekends, and holidays were required.   Poor work/ life balance."
good,"good people , but lacked clear direction on daily activity.  I Could have used a more thorough ""on-boarding"" training session, which at the present is non-existing."
good,"Client Manager gave guidance and preferred the contractor perform the job, usually without intervention.  Assistant Director was tecnically proficient and micro-managed."
good,"Quando trabalhei na Dafra foi na fase de implantação do negócio. Período  de muito trabalho e tentativas de organizaçao. "
good,Visteon offers a good place to start your career. The company trust in you as engineer and allows you to make mistakes and learn from them.
good,"continuous restructure since 2014"
good,"O dia a dia quando chegava muitos materias era corrido, e aprendir a ser muito mas organizado estocar materias gerar as tags , organizarva e estocava nos lugares certos , tive a experiência de alimentar linha de produção,  era cansativo,  nao era minha função,  mas ajudava os colegas de trabalho, que sempre min ensinavam, a parte mais difícil era quando chegava muitos materias no salao, que nao tinha nem para onde se movimentar, quando tinha que pegar material em tal Th era muito difícil,  e a parte mais legal era quando o salao estava limpo, materias todos estocados tudo nos seus devidos lugar"
good,"o tipico de trabalho bom eu apredi muita coisa adiquiri experiencia na area de produçao,direção bom tinha otimos colegas de trabalho etcc..."
good,a visteon achei uma empresa boa que da oprtunidaes de promocao que tem politica de empresa que segue o padrao enfim o funcionario tem todos os seus direitos e nao deixa atrasar o salario
good,"Large company, decent pay, but no longer an industry leader"
good,se conserva un buen ambiente de trabajo dentro de la empresa
good,"Friendly Work Culture"
good,"Unpredictable business "
good,"rapport entre ouvriers sympathique, travail difficile"
good,"É uma empresa que se classifica como uma boa escola para aprender a trabalhar nas áreas de manutenção, aprendi muito sobre manutenção preventivas e correctiva, bem como o restante que engloba a manutenção industrial"
good,"Almost every day the same repetitive work, it was a brigade during the study in college. Clear objectives, a good means to achieve them."
good,"Empresa que serviu como boa escola profissional pois dava liberdade para definirmos processos novos, porém o ambiente de trabalho era de bastante cobrança e pressão, gerando elevado nível de stress em muitas situações."
good,"One will learn how to be awake 24 x 7."
good,Very interested that to work with a team which i can't find there and no proper work culture which turns into to resign the Organisation.
good,"Ambiente bueno de trabajo, beneficios buenos tambien."
good,"Worked there many years ago and it was a very challenging time for automotive suppliers.  Don't know what type of culture they have now so hard for me to comment.  Overall, decent company."
good,plant is no longer around the management and the union (workers) ran this plant and work south of the border. Visteon (ford) worried about profits while the people were greedy to no end.
good,"Sorted cargo before loading and unloading."
good,"Good company, and they care their employee very well. good atmosphere to work. Free cab facility and foods during the working hours is available here. Also chances to get higher position when you performing well."
good,"Challenging work on fun products."
good,"-Responsible for global sales"
good,"It was very productive got to learn new things."
good,Required to hard work. The work load has high but the work profile of the each employee has cleared & systems are very good.
good,"rien de special a dire: c est correct "
good,"contrôle final des tableaux de bord et montage des airbags et de nombreuses pièces tel les conduits d'air "
good,Co-workers were excellent and fun to work with-both physical therapy office and company infirmary.
good,"bonne ambiance, travail en équipe, travail posté, assemblage,controle,emballage"
good,"Mi evaluación para esta empresa es algo plana ya que esta empresa en todos sus indicadores esta balanceada, como todas tienen problemas en algunos ámbitos pero siempre están muy balanceados."
good,At visteon there are many different areas that you could have exposure to
good,"- internationales Umfeld intern und extern"
good,Bonne entreprise très propre bonne ambiance de travail
